time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-03-25T00:00,53.0,59,39.0,48.4,0.0,0.0,0.0,0,14.7,1001.0
2026-03-25T01:00,52.1,55,36.4,47.0,0.0,0.0,0.0,99,13.0,1001.4
2026-03-25T02:00,49.2,62,36.7,44.9,0.0,0.0,0.0,4,12.7,1001.1
2026-03-25T03:00,48.9,63,36.9,44.2,0.0,0.0,0.0,0,12.8,1000.5
2026-03-25T04:00,48.1,70,38.8,44.0,0.0,0.0,0.0,3,10.6,1000.0
2026-03-25T05:00,47.3,69,37.6,43.2,0.0,0.0,0.0,2,7.5,1000.3
2026-03-25T06:00,46.5,66,35.7,41.2,0.0,0.0,0.0,2,11.6,1000.0
2026-03-25T07:00,46.9,65,35.7,42.1,0.0,0.0,0.0,4,10.1,1000.5
2026-03-25T08:00,46.4,66,35.7,41.4,5.2,22.0,3.8,100,11.6,1000.5
2026-03-25T09:00,48.9,60,35.6,42.8,56.0,0.0,56.0,100,10.0,1001.9
2026-03-25T10:00,51.3,59,37.4,45.8,266.2,278.9,154.0,6,7.6,1001.9
2026-03-25T11:00,53.9,57,39.0,48.8,475.2,514.1,177.5,100,7.4,1002.6
2026-03-25T12:00,55.9,48,36.5,50.3,395.8,83.3,336.0,100,7.1,1002.6
2026-03-25T13:00,57.6,48,38.0,52.2,469.2,192.6,313.5,65,7.1,1002.3
2026-03-25T14:00,60.7,46,39.8,55.6,575.5,248.3,365.5,100,7.8,1001.3
2026-03-25T15:00,63.2,39,37.9,58.0,524.0,219.6,342.5,100,6.5,1000.8
2026-03-25T16:00,64.6,42,41.0,60.5,359.8,33.2,334.8,100,5.4,999.5
2026-03-25T17:00,64.6,55,48.1,61.7,407.0,192.6,286.0,100,6.5,998.6
2026-03-25T18:00,64.5,50,45.4,61.4,234.2,76.2,199.0,100,5.3,998.5
2026-03-25T19:00,63.3,53,45.9,60.1,132.2,159.3,89.8,100,6.7,998.5
2026-03-25T20:00,63.6,53,46.2,61.7,18.2,53.4,12.8,100,5.6,998.5
2026-03-25T21:00,62.3,54,45.5,60.0,0.0,0.0,0.0,42,5.1,998.1
2026-03-25T22:00,58.5,57,43.3,55.4,0.0,0.0,0.0,99,11.7,998.3
2026-03-25T23:00,56.5,67,45.7,53.8,0.0,0.0,0.0,100,8.4,998.2
