time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-05-27T00:00,71.6,95,70.1,79.3,0.0,0.0,0.0,97,2.6,994.6
2026-05-27T01:00,71.6,99,71.3,79.7,0.0,0.0,0.0,97,2.9,994.3
2026-05-27T02:00,72.1,98,71.5,80.3,0.0,0.0,0.0,100,4.3,994.1
2026-05-27T03:00,72.1,96,70.9,79.6,0.0,0.0,0.0,100,6.5,993.8
2026-05-27T04:00,72.2,93,70.1,79.4,0.0,0.0,0.0,100,7.0,993.5
2026-05-27T05:00,72.1,95,70.5,79.4,0.0,0.0,0.0,100,5.8,993.5
2026-05-27T06:00,72.3,96,71.1,79.9,0.0,0.0,0.0,100,3.8,993.6
2026-05-27T07:00,72.1,96,70.8,80.2,4.0,0.0,4.0,100,2.2,994.2
2026-05-27T08:00,72.1,97,71.2,79.8,67.0,0.0,67.0,100,3.6,993.9
2026-05-27T09:00,73.1,97,72.2,80.4,179.0,7.5,176.0,100,6.3,994.2
2026-05-27T10:00,73.9,96,72.6,83.1,178.0,0.0,178.0,78,0.5,994.6
2026-05-27T11:00,78.0,87,73.8,86.9,645.0,289.4,429.0,30,6.4,994.9
2026-05-27T12:00,80.5,80,73.8,89.3,671.0,521.0,218.0,45,7.2,994.8
2026-05-27T13:00,82.1,75,73.4,94.8,931.0,731.8,238.0,40,4.6,994.5
2026-05-27T14:00,82.5,74,73.4,90.2,626.0,370.7,265.0,40,8.6,993.7
2026-05-27T15:00,84.1,67,72.0,94.5,926.0,822.5,146.0,30,7.7,993.1
2026-05-27T16:00,85.1,63,71.1,93.5,798.0,745.5,148.0,29,8.1,992.8
2026-05-27T17:00,85.4,61,70.4,92.9,749.0,797.3,151.0,16,7.1,992.0
2026-05-27T18:00,83.7,63,69.7,88.8,200.0,0.0,201.0,52,8.3,991.3
2026-05-27T19:00,83.7,59,67.8,89.2,318.0,485.8,121.0,1,4.6,991.5
2026-05-27T20:00,81.7,71,71.4,88.7,101.0,155.1,69.0,15,6.2,991.4
2026-05-27T21:00,78.1,82,72.1,85.8,0.0,0.0,0.0,5,6.4,991.6
2026-05-27T22:00,75.9,88,72.1,84.2,0.0,0.0,0.0,0,3.7,991.8
2026-05-27T23:00,74.4,92,71.9,82.9,0.0,0.0,0.0,0,1.4,992.2
