time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-03-11T00:00,68.4,88,64.7,72.5,0.0,0.0,0.0,3,2.7,994.8
2026-03-11T01:00,66.7,90,63.6,70.2,0.0,0.0,0.0,5,8.8,994.5
2026-03-11T02:00,65.7,91,63.0,70.0,0.0,0.0,0.0,8,3.5,993.6
2026-03-11T03:00,65.3,88,61.7,69.1,0.0,0.0,0.0,9,9.8,993.4
2026-03-11T04:00,64.8,91,62.1,68.3,0.0,0.0,0.0,42,13.1,993.2
2026-03-11T05:00,64.7,93,62.6,68.2,0.0,0.0,0.0,100,6.3,992.4
2026-03-11T06:00,64.6,92,62.2,67.7,0.0,0.0,0.0,31,10.8,992.5
2026-03-11T07:00,63.1,90,60.2,65.8,0.0,0.0,0.0,97,10.4,992.9
2026-03-11T08:00,62.8,91,60.1,65.4,1.8,30.9,0.2,70,11.1,993.5
2026-03-11T09:00,64.4,95,62.9,67.3,89.5,278.7,46.2,4,10.8,993.4
2026-03-11T10:00,68.7,89,65.3,71.3,293.2,632.3,81.2,9,11.1,993.8
2026-03-11T11:00,72.4,72,62.9,73.0,485.5,700.0,125.8,7,13.2,994.0
2026-03-11T12:00,75.9,60,61.0,76.6,650.5,802.1,125.0,17,13.4,994.3
2026-03-11T13:00,80.0,54,61.8,80.7,755.5,778.6,172.0,4,16.4,994.3
2026-03-11T14:00,82.3,48,60.7,82.8,817.5,865.9,133.2,2,17.9,993.3
2026-03-11T15:00,83.7,48,61.9,83.9,796.5,852.1,136.2,27,19.6,992.4
2026-03-11T16:00,84.7,43,59.7,83.7,711.5,851.2,112.0,0,18.7,991.5
2026-03-11T17:00,84.7,43,59.7,82.4,569.0,792.7,106.5,1,18.5,990.7
2026-03-11T18:00,83.2,43,58.4,81.0,379.2,690.3,89.0,9,17.3,990.5
2026-03-11T19:00,80.6,47,58.5,79.3,166.5,441.3,66.5,9,15.3,990.7
2026-03-11T20:00,78.6,52,59.5,79.6,16.8,53.7,11.5,7,13.0,990.5
2026-03-11T21:00,74.9,59,59.6,77.0,0.0,0.0,0.0,0,13.6,990.3
2026-03-11T22:00,73.7,61,59.4,75.3,0.0,0.0,0.0,56,15.3,989.9
2026-03-11T23:00,71.3,68,60.2,73.2,0.0,0.0,0.0,4,16.2,989.2
