time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-07-23T00:00,78.6,83,73.0,86.2,0.0,0.0,0.0,44,13.9,992.2
2026-07-23T01:00,77.3,88,73.4,84.8,0.0,0.0,0.0,72,13.2,992.4
2026-07-23T02:00,76.2,89,72.7,83.9,0.0,0.0,0.0,13,12.6,992.0
2026-07-23T03:00,76.8,89,73.3,84.4,0.0,0.0,0.0,0,14.6,992.1
2026-07-23T04:00,76.2,90,73.0,84.3,0.0,0.0,0.0,0,11.2,992.1
2026-07-23T05:00,75.8,90,72.7,83.9,0.0,0.0,0.0,1,12.2,992.3
2026-07-23T06:00,75.3,91,72.5,83.5,0.0,0.0,0.0,0,10.6,992.8
2026-07-23T07:00,74.8,92,72.4,82.7,3.0,19.1,2.0,5,9.5,992.9
2026-07-23T08:00,76.6,89,73.2,84.7,108.0,222.9,73.0,24,7.5,993.5
2026-07-23T09:00,78.9,84,73.6,86.7,309.0,626.6,84.0,88,7.5,994.6
2026-07-23T10:00,80.5,82,74.5,88.5,508.0,696.7,125.0,98,7.4,994.9
2026-07-23T11:00,82.9,76,74.6,92.9,700.0,738.9,171.0,91,6.4,995.0
2026-07-23T12:00,85.9,68,74.1,94.5,748.0,646.3,201.0,100,10.7,995.2
2026-07-23T13:00,85.5,74,76.2,94.9,734.0,505.3,263.0,100,12.1,994.9
2026-07-23T14:00,88.3,68,76.4,99.0,848.0,544.7,321.0,100,11.3,994.4
2026-07-23T15:00,88.6,64,74.9,96.3,653.0,461.2,215.0,28,11.6,993.7
2026-07-23T16:00,89.1,59,72.9,95.1,483.0,377.1,151.0,28,10.5,993.6
2026-07-23T17:00,91.0,55,72.6,97.4,445.0,357.4,172.0,40,8.9,993.3
2026-07-23T18:00,90.1,59,73.9,97.9,398.0,4.9,395.0,22,7.3,993.1
2026-07-23T19:00,84.7,69,73.4,92.4,5.0,0.0,5.0,77,6.0,993.0
2026-07-23T20:00,84.8,70,74.0,93.8,103.0,84.7,84.0,69,5.0,993.4
2026-07-23T21:00,79.3,93,77.1,90.1,0.0,0.0,0.0,100,5.4,993.3
2026-07-23T22:00,80.4,84,75.1,89.9,0.0,0.0,0.0,100,8.1,994.3
2026-07-23T23:00,78.8,88,74.9,88.9,0.0,0.0,0.0,100,3.2,994.9
