time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-03-09T00:00,61.3,90,58.3,62.7,0.0,0.0,0.0,1,7.1,994.3
2026-03-09T01:00,60.4,92,58.0,61.8,0.0,0.0,0.0,49,9.1,993.7
2026-03-09T02:00,59.5,92,57.2,61.4,0.0,0.0,0.0,18,6.0,993.3
2026-03-09T03:00,59.1,92,56.8,60.0,0.0,0.0,0.0,10,6.8,993.9
2026-03-09T04:00,59.2,93,57.2,60.6,0.0,0.0,0.0,100,4.9,993.5
2026-03-09T05:00,59.8,99,59.5,62.8,0.0,0.0,0.0,100,4.0,993.5
2026-03-09T06:00,60.1,100,60.1,62.7,0.0,0.0,0.0,100,6.3,993.9
2026-03-09T07:00,60.2,100,60.2,63.2,0.0,0.0,0.0,100,4.9,994.3
2026-03-09T08:00,60.4,99,60.2,62.6,0.2,5.7,0.0,100,9.3,995.1
2026-03-09T09:00,60.4,100,60.4,61.9,17.8,0.0,18.8,100,8.0,995.7
2026-03-09T10:00,61.1,100,61.1,62.9,95.2,82.2,68.5,100,5.7,996.3
2026-03-09T11:00,64.5,91,61.8,65.8,231.8,74.9,194.0,100,8.5,997.1
2026-03-09T12:00,68.1,80,61.7,69.7,457.5,183.9,338.8,88,7.4,997.0
2026-03-09T13:00,71.9,69,61.2,74.6,743.0,705.4,220.8,25,8.9,996.9
2026-03-09T14:00,74.4,59,59.1,76.5,823.8,890.4,127.8,2,10.6,996.3
2026-03-09T15:00,76.3,53,57.9,78.4,815.8,913.9,115.0,2,9.3,995.6
2026-03-09T16:00,78.4,50,58.2,79.3,720.8,871.5,113.5,0,10.5,994.7
2026-03-09T17:00,79.2,47,57.2,78.1,571.2,810.6,104.0,1,10.9,994.5
2026-03-09T18:00,79.0,44,55.2,77.0,378.5,693.8,91.2,0,11.1,993.9
2026-03-09T19:00,77.7,43,53.5,76.9,166.8,464.8,64.2,0,7.5,993.9
2026-03-09T20:00,73.3,51,54.1,73.7,16.8,76.5,9.5,0,4.5,994.1
2026-03-09T21:00,69.7,56,53.3,69.1,0.0,0.0,0.0,99,2.3,994.4
2026-03-09T22:00,66.9,66,55.2,66.8,0.0,0.0,0.0,99,5.4,995.7
2026-03-09T23:00,65.2,77,57.8,64.7,0.0,0.0,0.0,99,19.3,997.1
