time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-03-28T00:00,68.1,65,55.9,65.7,0.0,0.0,0.0,0,18.5,994.5
2026-03-28T01:00,66.1,63,53.2,62.7,0.0,0.0,0.0,0,19.6,995.2
2026-03-28T02:00,64.0,63,51.2,60.1,0.0,0.0,0.0,1,17.7,995.6
2026-03-28T03:00,61.9,59,47.4,56.9,0.0,0.0,0.0,0,17.9,996.2
2026-03-28T04:00,60.5,55,44.3,55.1,0.0,0.0,0.0,0,16.7,996.7
2026-03-28T05:00,59.4,48,39.7,54.4,0.0,0.0,0.0,0,14.1,997.7
2026-03-28T06:00,57.2,48,37.7,51.9,0.0,0.0,0.0,0,11.0,998.3
2026-03-28T07:00,55.9,47,36.0,51.0,0.0,0.0,0.0,78,10.5,999.8
2026-03-28T08:00,54.0,48,34.7,47.4,16.5,129.4,6.8,8,15.2,1001.2
2026-03-28T09:00,54.6,40,30.7,45.7,175.5,538.6,60.2,1,19.0,1003.0
2026-03-28T10:00,55.6,37,29.7,46.1,405.2,749.9,93.0,0,19.2,1004.2
2026-03-28T11:00,58.6,37,32.4,50.0,617.2,852.4,112.2,0,17.6,1004.8
2026-03-28T12:00,60.3,33,31.0,52.8,789.8,910.0,125.2,0,17.7,1005.4
2026-03-28T13:00,62.2,34,33.5,56.6,901.2,938.1,131.8,0,16.3,1005.5
2026-03-28T14:00,64.4,28,30.6,58.8,947.2,948.9,134.5,0,15.5,1005.3
2026-03-28T15:00,65.4,26,29.6,59.6,924.8,946.5,133.0,0,14.7,1004.9
2026-03-28T16:00,66.1,25,29.3,60.2,828.0,919.9,127.5,0,12.8,1004.8
2026-03-28T17:00,66.7,23,27.7,59.6,669.8,865.2,118.8,0,11.4,1004.2
2026-03-28T18:00,65.8,25,29.0,57.0,465.0,767.3,103.8,0,13.5,1003.8
2026-03-28T19:00,64.0,22,24.3,54.8,236.5,576.5,78.0,0,14.2,1004.3
2026-03-28T20:00,59.5,24,22.7,50.9,43.8,201.0,22.2,0,17.1,1004.6
2026-03-28T21:00,55.9,26,21.4,47.5,0.0,0.0,0.0,0,18.4,1005.1
2026-03-28T22:00,53.3,30,22.7,44.8,0.0,0.0,0.0,0,19.0,1006.2
2026-03-28T23:00,51.4,32,22.5,43.9,0.0,0.0,0.0,0,17.7,1006.4
