time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-08-24T00:00,75.6,53,57.2,76.2,0.0,0.0,0.0,0,16.9,991.2
2026-08-24T01:00,72.9,63,59.5,74.1,0.0,0.0,0.0,0,14.7,991.3
2026-08-24T02:00,71.9,66,59.9,74.1,0.0,0.0,0.0,0,11.2,991.2
2026-08-24T03:00,70.3,71,60.5,73.2,0.0,0.0,0.0,0,8.7,990.7
2026-08-24T04:00,70.3,68,59.2,72.7,0.0,0.0,0.0,1,8.6,990.8
2026-08-24T05:00,67.4,74,58.8,69.1,0.0,0.0,0.0,4,10.6,990.8
2026-08-24T06:00,66.3,78,59.2,69.2,0.0,0.0,0.0,9,7.2,990.7
2026-08-24T07:00,65.8,79,59.1,68.2,0.0,0.0,0.0,4,4.9,991.4
2026-08-24T08:00,68.0,81,62.0,71.0,59.0,290.0,25.0,1,8.6,991.9
2026-08-24T09:00,72.4,76,64.4,76.6,255.0,631.0,68.0,1,3.4,992.5
2026-08-24T10:00,78.0,68,66.6,82.7,468.0,762.9,91.0,0,4.0,992.6
2026-08-24T11:00,83.4,53,64.5,88.1,660.0,829.4,108.0,0,4.9,993.0
2026-08-24T12:00,86.8,38,58.2,90.8,816.0,871.3,120.0,0,4.8,993.1
2026-08-24T13:00,88.9,36,58.5,92.1,914.0,889.5,127.0,0,8.4,992.6
2026-08-24T14:00,89.8,40,62.3,94.6,945.0,889.2,129.0,0,9.4,992.3
2026-08-24T15:00,91.0,41,64.1,96.5,909.0,871.3,129.0,3,9.2,991.9
2026-08-24T16:00,91.2,37,61.3,94.2,819.0,848.7,124.0,0,10.4,991.3
2026-08-24T17:00,91.3,37,61.4,92.9,672.0,802.7,115.0,0,10.1,990.5
2026-08-24T18:00,90.7,34,58.5,90.1,480.0,711.1,104.0,0,10.0,990.7
2026-08-24T19:00,88.6,34,56.7,88.3,254.0,487.0,91.0,0,7.3,990.8
2026-08-24T20:00,84.6,37,55.4,85.9,30.0,14.6,28.0,0,2.2,990.5
2026-08-24T21:00,79.3,44,55.5,79.9,0.0,0.0,0.0,0,5.1,990.9
2026-08-24T22:00,76.2,50,56.2,76.4,0.0,0.0,0.0,0,9.7,991.6
2026-08-24T23:00,72.4,56,55.8,72.5,0.0,0.0,0.0,0,6.6,992.1
