time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-07-02T00:00,79.8,86,75.2,90.0,0.0,0.0,0.0,0,5.8,994.2
2026-07-02T01:00,79.2,89,75.6,90.2,0.0,0.0,0.0,0,3.8,993.8
2026-07-02T02:00,77.7,92,75.2,87.5,0.0,0.0,0.0,7,6.6,993.8
2026-07-02T03:00,76.7,95,75.2,87.2,0.0,0.0,0.0,4,7.3,993.4
2026-07-02T04:00,76.2,96,75.0,86.9,0.0,0.0,0.0,28,3.7,993.4
2026-07-02T05:00,75.8,96,74.6,85.6,0.0,0.0,0.0,24,0.7,993.4
2026-07-02T06:00,75.2,95,73.7,84.4,0.0,0.0,0.0,10,0.3,993.7
2026-07-02T07:00,75.4,94,73.5,84.4,10.0,30.3,8.0,13,2.0,994.3
2026-07-02T08:00,78.2,92,75.7,88.0,149.0,492.1,54.0,2,6.0,994.6
2026-07-02T09:00,82.0,81,75.5,92.0,343.0,637.1,94.0,9,3.1,995.6
2026-07-02T10:00,84.7,78,77.1,96.2,521.0,632.7,156.0,12,2.0,995.7
2026-07-02T11:00,89.0,71,78.3,103.4,710.0,724.5,175.0,19,0.9,996.0
2026-07-02T12:00,91.4,66,78.4,107.6,860.0,833.9,139.0,16,1.5,995.7
2026-07-02T13:00,92.2,61,76.8,105.5,813.0,635.9,211.0,30,4.6,995.7
2026-07-02T14:00,94.9,50,73.4,108.7,994.0,867.0,145.0,8,3.2,995.4
2026-07-02T15:00,95.5,48,72.7,107.5,905.0,734.5,200.0,14,4.5,994.9
2026-07-02T16:00,95.0,50,73.5,106.4,896.0,818.1,168.0,17,5.6,994.7
2026-07-02T17:00,95.7,47,72.3,105.6,738.0,775.0,138.0,28,4.2,994.4
2026-07-02T18:00,95.1,48,72.3,101.6,447.0,525.3,121.0,9,7.3,994.3
2026-07-02T19:00,95.8,42,69.1,100.4,350.0,541.5,112.0,32,8.8,993.9
2026-07-02T20:00,92.5,49,70.6,97.3,148.0,295.8,76.0,0,12.9,994.5
2026-07-02T21:00,88.0,58,71.4,94.9,0.0,0.0,0.0,3,7.3,995.0
2026-07-02T22:00,83.9,62,69.5,90.5,0.0,0.0,0.0,0,5.2,994.6
2026-07-02T23:00,80.2,69,69.1,86.3,0.0,0.0,0.0,0,6.0,994.6
