time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-05-18T00:00,70.7,72,61.2,70.6,0.0,0.0,0.0,0,17.5,998.1
2026-05-18T01:00,70.0,75,61.7,72.0,0.0,0.0,0.0,0,12.1,997.0
2026-05-18T02:00,69.3,78,62.1,72.3,0.0,0.0,0.0,1,9.4,997.3
2026-05-18T03:00,67.8,79,61.1,70.8,0.0,0.0,0.0,0,7.4,997.2
2026-05-18T04:00,65.8,81,59.8,67.8,0.0,0.0,0.0,0,9.4,997.5
2026-05-18T05:00,63.7,85,59.1,66.5,0.0,0.0,0.0,0,9.1,997.4
2026-05-18T06:00,62.6,85,58.0,64.3,0.0,0.0,0.0,1,5.0,998.1
2026-05-18T07:00,62.0,90,59.0,64.3,8.0,31.9,6.0,5,2.6,998.8
2026-05-18T08:00,65.6,93,63.5,68.6,140.0,394.6,66.0,14,5.8,999.9
2026-05-18T09:00,69.3,93,67.2,73.6,239.0,190.1,165.0,100,6.3,1000.1
2026-05-18T10:00,71.6,88,67.9,76.9,142.0,0.0,142.0,100,4.8,1001.0
2026-05-18T11:00,76.6,72,66.9,81.3,270.0,0.0,270.0,100,4.7,1001.0
2026-05-18T12:00,80.3,68,68.8,88.6,828.0,609.8,302.0,46,6.0,1001.1
2026-05-18T13:00,82.9,64,69.4,92.3,886.0,662.5,263.0,39,5.2,1000.5
2026-05-18T14:00,86.2,51,65.9,93.8,915.0,698.1,240.0,33,6.2,999.9
2026-05-18T15:00,87.1,50,66.2,94.7,957.0,861.3,147.0,13,7.6,999.3
2026-05-18T16:00,89.2,39,61.0,94.0,867.0,852.0,132.0,0,6.7,998.8
2026-05-18T17:00,89.0,42,62.9,92.0,691.0,736.2,147.0,14,8.6,998.6
2026-05-18T18:00,88.5,32,54.9,86.7,543.0,737.4,117.0,0,9.6,998.1
2026-05-18T19:00,87.4,36,57.2,87.0,312.0,533.4,104.0,0,8.2,997.7
2026-05-18T20:00,84.0,42,58.5,84.7,97.0,169.8,65.0,0,8.4,997.6
2026-05-18T21:00,82.0,42,56.6,82.2,0.0,0.0,0.0,0,12.1,998.1
2026-05-18T22:00,77.4,49,56.7,77.8,0.0,0.0,0.0,0,7.8,998.3
2026-05-18T23:00,74.2,59,59.0,75.7,0.0,0.0,0.0,0,7.2,998.7
