time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-09-11T00:00,78.7,77,70.9,86.7,0.0,0.0,0.0,9,6.8,992.3
2026-09-11T01:00,76.5,81,70.2,83.3,0.0,0.0,0.0,2,9.7,991.7
2026-09-11T02:00,76.4,84,71.2,84.2,0.0,0.0,0.0,0,5.6,991.2
2026-09-11T03:00,74.8,88,71.0,82.7,0.0,0.0,0.0,0,4.0,991.0
2026-09-11T04:00,74.3,89,70.8,81.6,0.0,0.0,0.0,0,1.8,990.5
2026-09-11T05:00,73.3,90,70.2,80.5,0.0,0.0,0.0,0,3.6,991.0
2026-09-11T06:00,72.1,91,69.3,78.7,0.0,0.0,0.0,1,5.4,991.2
2026-09-11T07:00,71.5,92,69.1,78.1,0.0,0.0,0.0,47,3.4,991.6
2026-09-11T08:00,72.1,97,71.2,80.6,30.0,134.0,17.0,9,1.4,992.3
2026-09-11T09:00,76.6,91,73.8,86.2,206.0,562.4,62.0,50,1.9,992.4
2026-09-11T10:00,82.0,77,74.0,91.7,414.0,727.6,83.0,13,1.3,992.0
2026-09-11T11:00,87.9,65,74.7,98.9,591.0,709.6,147.0,1,0.3,992.4
2026-09-11T12:00,90.9,54,71.9,101.0,694.0,759.8,119.0,100,1.6,992.6
2026-09-11T13:00,89.2,58,72.5,97.8,563.0,502.9,141.0,25,2.1,991.7
2026-09-11T14:00,90.9,55,72.5,99.5,512.0,480.9,95.0,36,2.6,990.9
2026-09-11T15:00,92.1,53,72.5,99.0,548.0,509.0,121.0,33,7.1,990.0
2026-09-11T16:00,84.7,74,75.4,93.4,153.0,0.0,153.0,100,5.7,989.2
2026-09-11T17:00,89.6,61,74.4,98.4,472.0,81.6,421.0,50,2.9,988.4
2026-09-11T18:00,79.5,83,73.9,84.9,260.0,44.1,240.0,99,16.0,990.4
2026-09-11T19:00,75.0,95,73.5,82.9,2.0,0.0,2.0,100,7.5,989.5
2026-09-11T20:00,75.4,93,73.2,84.0,0.0,0.0,0.0,100,3.0,990.0
2026-09-11T21:00,75.3,93,73.1,84.1,0.0,0.0,0.0,48,2.7,990.3
2026-09-11T22:00,74.6,95,73.0,83.3,0.0,0.0,0.0,25,3.3,991.3
2026-09-11T23:00,74.1,96,72.9,82.6,0.0,0.0,0.0,38,5.1,991.8
