time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-06-10T00:00,72.3,92,69.9,79.4,0.0,0.0,0.0,26,1.8,995.8
2026-06-10T01:00,71.7,96,70.5,79.1,0.0,0.0,0.0,50,1.9,994.6
2026-06-10T02:00,71.0,96,69.8,77.7,0.0,0.0,0.0,13,4.1,994.0
2026-06-10T03:00,70.1,96,68.9,76.2,0.0,0.0,0.0,87,1.3,994.4
2026-06-10T04:00,70.1,96,68.9,76.8,0.0,0.0,0.0,13,2.7,994.7
2026-06-10T05:00,69.5,95,68.0,76.3,0.0,0.0,0.0,8,3.7,994.7
2026-06-10T06:00,69.2,95,67.7,75.4,0.0,0.0,0.0,22,2.3,995.0
2026-06-10T07:00,69.2,96,68.0,75.1,14.0,0.0,14.0,51,4.0,995.3
2026-06-10T08:00,71.2,100,71.2,78.8,139.0,263.8,84.0,50,4.5,995.6
2026-06-10T09:00,73.6,96,72.4,81.5,284.0,268.6,175.0,79,4.1,995.9
2026-06-10T10:00,76.6,89,73.2,85.0,376.0,210.0,252.0,43,4.1,994.8
2026-06-10T11:00,80.0,82,74.0,91.1,705.0,670.9,202.0,31,2.1,995.4
2026-06-10T12:00,81.8,76,73.5,90.7,592.0,454.9,195.0,50,3.8,995.9
2026-06-10T13:00,83.4,69,72.2,91.6,644.0,520.4,149.0,100,5.7,995.5
2026-06-10T14:00,84.0,72,74.0,93.5,645.0,395.0,258.0,100,4.8,994.7
2026-06-10T15:00,84.6,70,73.7,92.3,531.0,180.9,358.0,34,5.9,994.2
2026-06-10T16:00,86.3,72,76.2,100.4,859.0,790.6,161.0,41,2.5,993.5
2026-06-10T17:00,85.2,69,73.9,92.2,583.0,438.4,248.0,50,9.6,992.3
2026-06-10T18:00,86.5,57,69.4,91.7,537.0,657.8,137.0,0,7.0,991.9
2026-06-10T19:00,84.9,60,69.5,90.4,331.0,498.2,119.0,0,6.7,990.6
2026-06-10T20:00,83.3,68,71.6,91.3,128.0,209.6,80.0,0,3.7,991.3
2026-06-10T21:00,80.8,75,72.1,88.7,0.0,0.0,0.0,0,6.1,991.1
2026-06-10T22:00,79.3,79,72.3,87.2,0.0,0.0,0.0,1,6.9,990.9
2026-06-10T23:00,77.9,80,71.2,84.9,0.0,0.0,0.0,19,12.3,991.2
