time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-02-22T00:00,55.7,94,54.0,55.9,0.0,0.0,0.0,100,8.9,989.2
2026-02-22T01:00,55.9,97,55.0,56.7,0.0,0.0,0.0,97,7.6,989.3
2026-02-22T02:00,54.4,68,44.1,48.6,0.0,0.0,0.0,90,21.9,989.2
2026-02-22T03:00,51.5,66,40.5,44.9,0.0,0.0,0.0,100,20.8,989.2
2026-02-22T04:00,50.5,68,40.4,42.6,0.0,0.0,0.0,98,25.5,988.8
2026-02-22T05:00,47.9,68,37.9,39.9,0.0,0.0,0.0,0,23.6,989.5
2026-02-22T06:00,46.3,70,37.1,38.9,0.0,0.0,0.0,0,22.3,990.2
2026-02-22T07:00,44.2,67,33.9,35.5,0.0,0.0,0.0,0,25.2,991.1
2026-02-22T08:00,43.4,71,34.7,34.4,44.2,246.1,15.8,0,23.9,991.7
2026-02-22T09:00,44.4,64,33.0,34.2,239.8,705.0,58.8,0,24.3,992.8
2026-02-22T10:00,45.4,57,31.1,35.1,450.2,852.3,79.8,3,23.4,993.6
2026-02-22T11:00,46.9,43,25.6,36.0,626.2,927.6,91.5,14,23.5,994.3
2026-02-22T12:00,48.2,34,21.1,36.8,750.8,972.1,97.2,0,27.1,994.6
2026-02-22T13:00,50.4,28,18.5,39.2,807.5,988.2,100.2,0,26.8,994.7
2026-02-22T14:00,50.5,30,20.2,38.5,789.5,977.7,101.5,0,30.4,994.3
2026-02-22T15:00,49.6,28,17.8,37.4,702.2,950.3,96.8,0,28.8,994.3
2026-02-22T16:00,48.9,29,18.0,35.3,552.2,886.0,91.0,2,30.2,994.5
2026-02-22T17:00,46.6,32,18.3,33.7,353.8,765.3,76.8,0,26.9,994.9
2026-02-22T18:00,44.0,35,18.1,31.7,137.2,505.9,49.5,0,25.4,995.3
2026-02-22T19:00,40.7,38,17.1,29.8,5.5,24.6,3.8,0,21.3,995.5
2026-02-22T20:00,38.2,39,15.4,26.7,0.0,0.0,0.0,0,23.6,996.1
2026-02-22T21:00,35.2,45,16.0,22.8,0.0,0.0,0.0,0,26.4,996.3
2026-02-22T22:00,33.5,49,16.4,22.6,0.0,0.0,0.0,0,21.5,996.7
2026-02-22T23:00,32.5,52,16.9,22.5,0.0,0.0,0.0,0,17.2,996.5
