time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-04-17T00:00,67.0,59,52.2,67.0,0.0,0.0,0.0,2,11.5,992.2
2026-04-17T01:00,66.5,59,51.7,66.1,0.0,0.0,0.0,9,11.3,992.4
2026-04-17T02:00,65.8,63,52.8,65.1,0.0,0.0,0.0,1,13.5,992.5
2026-04-17T03:00,64.5,66,52.9,63.9,0.0,0.0,0.0,2,13.3,992.0
2026-04-17T04:00,63.7,66,52.1,63.4,0.0,0.0,0.0,0,11.4,991.2
2026-04-17T05:00,61.6,73,52.9,62.3,0.0,0.0,0.0,0,10.2,991.4
2026-04-17T06:00,60.9,75,52.9,61.6,0.0,0.0,0.0,0,11.7,991.6
2026-04-17T07:00,60.3,72,51.2,60.4,0.0,0.0,0.0,0,7.3,992.0
2026-04-17T08:00,61.6,77,54.3,62.4,60.0,268.2,27.8,0,6.5,992.8
2026-04-17T09:00,68.4,72,59.0,70.1,252.8,568.9,80.8,2,4.0,993.9
2026-04-17T10:00,74.2,63,60.8,76.6,470.8,725.4,108.2,0,4.1,994.3
2026-04-17T11:00,80.0,44,56.1,81.2,670.8,821.3,120.5,0,5.8,994.4
2026-04-17T12:00,82.8,37,53.8,84.0,831.0,875.1,129.5,0,8.0,994.8
2026-04-17T13:00,84.5,33,52.2,86.9,931.2,899.4,134.8,0,6.6,994.0
2026-04-17T14:00,86.3,33,53.8,88.5,968.2,909.7,134.8,10,8.9,993.4
2026-04-17T15:00,87.0,32,53.6,89.7,934.5,899.2,133.0,17,7.1,992.7
2026-04-17T16:00,88.0,29,51.8,90.2,837.8,873.8,127.5,12,4.5,992.1
2026-04-17T17:00,88.2,28,51.0,86.9,681.5,820.0,119.0,0,7.9,991.2
2026-04-17T18:00,87.7,28,50.6,87.2,487.2,736.8,104.5,0,2.0,990.9
2026-04-17T19:00,85.9,31,51.8,85.5,266.0,550.0,87.5,0,2.4,990.7
2026-04-17T20:00,80.1,37,51.5,80.2,68.8,257.9,34.8,50,0.7,990.6
2026-04-17T21:00,75.0,47,53.4,73.9,0.0,0.0,0.0,50,5.2,989.9
2026-04-17T22:00,72.1,56,55.5,72.7,0.0,0.0,0.0,41,13.8,990.2
2026-04-17T23:00,68.5,64,55.9,69.2,0.0,0.0,0.0,16,16.7,989.8
