time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-08-27T00:00,75.7,87,71.5,82.9,0.0,0.0,0.0,2,6.3,991.6
2026-08-27T01:00,74.6,87,70.4,81.8,0.0,0.0,0.0,8,5.4,991.9
2026-08-27T02:00,74.0,89,70.6,81.6,0.0,0.0,0.0,37,6.8,991.6
2026-08-27T03:00,72.7,93,70.5,79.9,0.0,0.0,0.0,6,4.8,991.2
2026-08-27T04:00,72.9,94,71.0,80.1,0.0,0.0,0.0,31,4.5,991.2
2026-08-27T05:00,72.3,96,71.1,80.2,0.0,0.0,0.0,33,4.7,991.1
2026-08-27T06:00,71.1,93,68.9,77.1,0.0,0.0,0.0,50,6.3,991.1
2026-08-27T07:00,70.2,95,68.7,76.6,0.0,0.0,0.0,5,7.2,990.9
2026-08-27T08:00,71.2,96,70.0,78.1,50.0,228.1,24.0,14,7.2,991.2
2026-08-27T09:00,74.3,93,72.1,82.7,234.0,531.2,80.0,15,2.5,992.0
2026-08-27T10:00,77.6,91,74.8,88.0,397.0,391.3,206.0,12,0.5,992.2
2026-08-27T11:00,82.7,72,72.7,90.5,531.0,238.0,374.0,79,4.7,992.8
2026-08-27T12:00,81.3,78,73.8,91.1,700.0,435.2,355.0,100,5.7,992.7
2026-08-27T13:00,79.3,84,74.1,87.5,443.0,1.1,442.0,100,5.6,992.1
2026-08-27T14:00,82.4,74,73.3,91.8,620.0,7.7,613.0,99,3.5,991.4
2026-08-27T15:00,86.1,67,73.9,97.0,655.0,541.1,175.0,30,1.3,991.2
2026-08-27T16:00,87.2,59,71.1,94.6,424.0,118.5,328.0,37,2.9,990.7
2026-08-27T17:00,86.6,56,69.1,92.5,266.0,190.1,136.0,32,3.7,990.5
2026-08-27T18:00,81.5,82,75.5,89.5,135.0,0.0,135.0,32,9.4,990.1
2026-08-27T19:00,82.8,73,73.2,90.6,220.0,368.8,101.0,13,4.9,990.7
2026-08-27T20:00,77.8,85,72.9,83.4,0.0,0.0,0.0,100,16.3,990.7
2026-08-27T21:00,75.3,86,70.8,81.6,0.0,0.0,0.0,93,8.8,990.7
2026-08-27T22:00,73.6,88,69.8,80.1,0.0,0.0,0.0,50,7.4,991.2
2026-08-27T23:00,72.8,90,69.7,80.2,0.0,0.0,0.0,99,5.5,991.2
