time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-06-22T00:00,76.6,87,72.5,84.7,0.0,0.0,0.0,0,10.4,990.6
2026-06-22T01:00,75.5,90,72.3,84.6,0.0,0.0,0.0,1,8.0,990.5
2026-06-22T02:00,74.3,93,72.1,82.7,0.0,0.0,0.0,2,7.1,990.8
2026-06-22T03:00,73.9,95,72.4,82.3,0.0,0.0,0.0,1,6.8,990.5
2026-06-22T04:00,73.7,94,71.8,81.8,0.0,0.0,0.0,3,10.9,990.6
2026-06-22T05:00,73.6,92,71.1,81.6,0.0,0.0,0.0,0,9.4,990.8
2026-06-22T06:00,73.0,92,70.6,80.6,0.0,0.0,0.0,7,7.9,991.0
2026-06-22T07:00,73.0,93,70.9,80.7,14.0,42.1,11.0,1,6.7,991.4
2026-06-22T08:00,74.9,92,72.5,82.7,51.0,0.0,51.0,12,4.9,991.8
2026-06-22T09:00,77.7,88,73.9,85.1,238.0,189.8,162.0,26,8.9,992.8
2026-06-22T10:00,78.3,87,74.1,84.8,104.0,0.0,104.0,100,12.0,993.1
2026-06-22T11:00,81.2,82,75.2,88.3,526.0,51.0,488.0,100,12.2,992.9
2026-06-22T12:00,83.0,77,75.1,89.8,521.0,305.8,255.0,100,13.2,993.1
2026-06-22T13:00,85.3,65,72.2,90.4,671.0,498.9,197.0,4,16.4,992.2
2026-06-22T14:00,87.2,64,73.5,95.4,851.0,708.6,156.0,26,15.3,992.9
2026-06-22T15:00,88.6,65,75.3,96.6,749.0,111.5,642.0,36,15.7,992.1
2026-06-22T16:00,89.2,58,72.5,95.6,870.0,831.8,131.0,50,18.7,991.6
2026-06-22T17:00,89.9,57,72.6,95.8,735.0,759.3,149.0,57,16.0,991.4
2026-06-22T18:00,88.6,56,70.9,94.5,7.0,0.0,7.0,51,11.1,991.2
2026-06-22T19:00,87.2,59,71.1,92.6,150.0,2.3,149.0,9,11.2,990.7
2026-06-22T20:00,82.4,73,72.9,88.5,1.0,0.0,1.0,99,16.9,991.4
2026-06-22T21:00,80.0,82,74.0,89.5,0.0,0.0,0.0,0,6.6,991.4
2026-06-22T22:00,79.2,81,72.8,87.4,0.0,0.0,0.0,90,11.5,991.7
2026-06-22T23:00,77.7,85,72.9,86.2,0.0,0.0,0.0,59,13.0,991.9
