time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-06-16T00:00,72.7,76,64.7,76.2,0.0,0.0,0.0,99,13.9,989.0
2026-06-16T01:00,71.4,79,64.6,75.0,0.0,0.0,0.0,99,12.9,989.0
2026-06-16T02:00,71.2,78,64.0,75.5,0.0,0.0,0.0,98,10.8,988.7
2026-06-16T03:00,71.2,77,63.7,75.8,0.0,0.0,0.0,100,6.5,988.4
2026-06-16T04:00,71.2,78,64.0,75.3,0.0,0.0,0.0,98,9.3,988.1
2026-06-16T05:00,70.5,80,64.1,74.7,0.0,0.0,0.0,99,7.8,987.9
2026-06-16T06:00,69.6,86,65.2,74.3,0.0,0.0,0.0,99,8.5,987.8
2026-06-16T07:00,70.3,86,65.9,75.2,16.0,41.0,13.0,98,5.0,988.8
2026-06-16T08:00,70.1,85,65.4,74.3,42.0,0.0,42.0,99,6.8,989.2
2026-06-16T09:00,70.6,89,67.2,75.6,164.0,0.0,164.0,100,6.0,989.5
2026-06-16T10:00,69.8,93,67.7,75.1,318.0,5.1,315.0,100,4.5,989.7
2026-06-16T11:00,70.9,92,68.4,74.6,556.0,85.5,492.0,100,11.2,990.0
2026-06-16T12:00,72.1,84,67.0,75.6,393.0,0.0,393.0,98,8.7,989.3
2026-06-16T13:00,73.7,78,66.4,79.7,647.0,40.0,609.0,99,3.7,988.8
2026-06-16T14:00,73.7,78,66.4,77.2,560.0,1.0,559.0,100,7.3,988.8
2026-06-16T15:00,73.8,80,67.2,79.4,712.0,113.7,603.0,100,8.4,988.5
2026-06-16T16:00,73.9,78,66.6,77.8,339.0,1.1,338.0,100,7.7,988.0
2026-06-16T17:00,71.2,90,68.2,76.4,71.0,1.3,70.0,100,6.7,987.6
2026-06-16T18:00,70.4,90,67.4,74.9,27.0,0.0,27.0,100,8.6,987.3
2026-06-16T19:00,69.2,95,67.7,73.9,51.0,0.0,51.0,100,7.8,986.8
2026-06-16T20:00,68.9,99,68.6,75.4,5.0,0.0,5.0,100,2.2,987.3
2026-06-16T21:00,68.5,99,68.2,74.7,0.0,0.0,0.0,100,3.5,986.7
2026-06-16T22:00,68.4,100,68.4,75.2,0.0,0.0,0.0,100,0.5,987.0
2026-06-16T23:00,68.5,99,68.2,74.8,0.0,0.0,0.0,100,2.5,987.4
