time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-04-03T00:00,66.7,57,50.9,66.0,0.0,0.0,0.0,0,15.7,998.6
2026-04-03T01:00,66.0,63,53.1,64.5,0.0,0.0,0.0,0,17.5,999.1
2026-04-03T02:00,65.5,63,52.6,62.6,0.0,0.0,0.0,2,19.7,999.1
2026-04-03T03:00,63.3,67,52.2,60.8,0.0,0.0,0.0,3,17.5,998.5
2026-04-03T04:00,62.3,74,53.9,62.0,0.0,0.0,0.0,0,13.4,998.8
2026-04-03T05:00,61.0,78,54.1,61.7,0.0,0.0,0.0,0,9.8,999.7
2026-04-03T06:00,59.2,84,54.4,58.9,0.0,0.0,0.0,0,9.3,999.0
2026-04-03T07:00,58.4,87,54.5,58.8,0.0,0.0,0.0,0,6.2,1000.0
2026-04-03T08:00,58.6,94,56.9,59.8,26.2,128.0,14.8,34,3.6,1000.9
2026-04-03T09:00,63.1,89,59.8,64.7,179.0,361.8,91.2,100,4.0,1001.8
2026-04-03T10:00,65.9,85,61.3,68.2,299.8,272.7,178.8,100,4.5,1002.0
2026-04-03T11:00,68.7,88,65.0,73.0,388.0,152.5,293.8,100,3.7,1002.5
2026-04-03T12:00,70.3,85,65.6,75.3,356.0,87.2,290.2,100,2.9,1002.8
2026-04-03T13:00,74.7,73,65.4,79.4,398.5,171.2,254.2,50,2.7,1002.1
2026-04-03T14:00,80.7,57,64.1,86.2,674.8,568.8,176.0,41,2.7,1001.8
2026-04-03T15:00,79.5,55,61.9,82.6,633.8,568.9,147.2,24,5.7,1000.8
2026-04-03T16:00,78.9,56,61.9,82.6,687.8,717.4,129.0,30,5.6,1000.1
2026-04-03T17:00,82.0,52,62.7,86.4,404.2,449.0,111.0,27,1.0,999.5
2026-04-03T18:00,80.3,54,62.2,82.3,357.0,518.5,104.8,22,6.7,999.0
2026-04-03T19:00,77.7,62,63.7,79.8,203.5,395.9,88.5,17,8.7,998.7
2026-04-03T20:00,76.4,58,60.5,77.8,43.8,143.8,27.2,43,9.6,998.6
2026-04-03T21:00,72.0,72,62.4,73.9,0.0,0.0,0.0,0,14.4,998.5
2026-04-03T22:00,71.7,76,63.7,74.8,0.0,0.0,0.0,5,12.2,999.5
2026-04-03T23:00,69.8,71,60.0,70.5,0.0,0.0,0.0,2,17.2,999.8
