time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-02-28T00:00,53.2,92,51.0,51.7,0.0,0.0,0.0,100,12.3,992.9
2026-02-28T01:00,53.1,93,51.1,52.3,0.0,0.0,0.0,100,10.2,992.8
2026-02-28T02:00,52.9,91,50.3,50.3,0.0,0.0,0.0,100,12.2,993.6
2026-02-28T03:00,52.7,94,51.0,50.4,0.0,0.0,0.0,100,9.3,992.8
2026-02-28T04:00,52.4,97,51.6,51.0,0.0,0.0,0.0,100,10.1,992.8
2026-02-28T05:00,52.7,95,51.3,52.0,0.0,0.0,0.0,100,5.1,992.8
2026-02-28T06:00,52.5,94,50.8,51.1,0.0,0.0,0.0,100,6.7,993.3
2026-02-28T07:00,52.1,94,50.4,50.6,0.0,0.0,0.0,100,9.0,993.7
2026-02-28T08:00,51.9,96,50.8,51.2,21.2,3.9,20.8,100,6.8,994.5
2026-02-28T09:00,52.4,95,51.0,51.4,81.0,0.0,81.8,100,4.0,995.0
2026-02-28T10:00,52.8,91,50.2,51.7,142.2,2.2,141.2,100,3.5,995.3
2026-02-28T11:00,54.8,90,51.9,54.3,197.5,1.7,196.5,100,3.2,995.8
2026-02-28T12:00,58.0,78,51.2,57.6,375.5,126.1,287.2,100,2.2,995.2
2026-02-28T13:00,60.9,71,51.4,60.7,509.8,339.1,258.0,20,1.1,994.7
2026-02-28T14:00,63.1,67,51.9,63.5,676.5,671.3,186.8,24,3.8,993.8
2026-02-28T15:00,64.7,62,51.4,64.2,588.8,638.8,166.0,16,3.3,994.1
2026-02-28T16:00,66.4,58,51.2,64.8,523.2,737.5,122.2,4,5.0,993.6
2026-02-28T17:00,66.6,51,47.9,64.7,355.8,696.2,88.8,0,3.5,993.0
2026-02-28T18:00,64.3,57,48.8,62.2,148.0,481.7,55.5,0,9.5,993.3
2026-02-28T19:00,59.8,68,49.2,57.5,9.8,52.5,5.5,0,14.5,993.5
2026-02-28T20:00,56.4,78,49.6,54.2,0.0,0.0,0.0,0,14.6,993.8
2026-02-28T21:00,53.7,82,48.3,51.8,0.0,0.0,0.0,0,13.7,994.3
2026-02-28T22:00,51.4,88,47.9,50.0,0.0,0.0,0.0,0,10.5,995.0
2026-02-28T23:00,50.2,89,47.1,47.9,0.0,0.0,0.0,1,10.1,995.2
