time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-04-08T00:00,54.0,66,42.9,50.7,0.0,0.0,0.0,0,16.3,998.4
2026-04-08T01:00,52.4,66,41.4,49.9,0.0,0.0,0.0,0,16.7,999.0
2026-04-08T02:00,51.3,63,39.1,48.1,0.0,0.0,0.0,0,11.7,999.0
2026-04-08T03:00,49.6,68,39.4,45.6,0.0,0.0,0.0,0,9.7,999.0
2026-04-08T04:00,49.1,69,39.4,46.0,0.0,0.0,0.0,1,14.6,999.1
2026-04-08T05:00,49.0,67,38.5,43.8,0.0,0.0,0.0,21,16.5,999.7
2026-04-08T06:00,49.6,65,38.4,44.0,0.0,0.0,0.0,4,18.8,1000.4
2026-04-08T07:00,49.6,65,38.3,43.0,0.0,0.0,0.0,51,20.7,1001.8
2026-04-08T08:00,50.5,60,37.2,43.3,24.5,27.1,21.8,99,19.7,1002.9
2026-04-08T09:00,51.8,64,40.0,43.3,199.2,365.6,102.2,76,23.4,1003.8
2026-04-08T10:00,54.7,58,40.2,45.6,431.2,594.9,154.5,32,24.0,1004.6
2026-04-08T11:00,56.8,51,38.9,49.3,642.5,763.0,155.5,3,19.3,1005.4
2026-04-08T12:00,59.5,46,38.7,54.1,810.5,849.6,154.0,3,16.1,1005.5
2026-04-08T13:00,61.6,46,40.6,58.3,919.2,902.8,143.5,6,13.6,1005.3
2026-04-08T14:00,64.0,45,42.2,62.1,956.8,903.3,150.8,3,11.5,1004.8
2026-04-08T15:00,65.3,43,42.2,62.9,925.2,892.1,149.8,4,11.8,1004.2
2026-04-08T16:00,66.2,40,41.2,62.3,825.8,851.7,151.2,3,12.5,1003.6
2026-04-08T17:00,66.3,36,38.5,60.9,675.0,813.2,133.8,0,11.7,1003.1
2026-04-08T18:00,65.8,36,38.1,59.0,478.8,738.3,110.5,8,12.4,1002.9
2026-04-08T19:00,64.4,35,36.2,57.6,253.8,558.6,84.5,2,12.0,1002.8
2026-04-08T20:00,59.2,43,36.7,53.8,58.0,229.3,30.2,3,11.7,1002.8
2026-04-08T21:00,57.8,50,39.3,53.3,0.0,0.0,0.0,7,14.1,1003.5
2026-04-08T22:00,55.2,53,38.4,50.8,0.0,0.0,0.0,100,13.9,1003.8
2026-04-08T23:00,52.8,53,36.1,47.7,0.0,0.0,0.0,23,12.9,1004.4
