time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-04-16T00:00,68.1,55,51.3,67.5,0.0,0.0,0.0,7,8.5,993.8
2026-04-16T01:00,64.5,72,55.3,64.5,0.0,0.0,0.0,56,14.1,993.7
2026-04-16T02:00,62.5,77,55.2,63.5,0.0,0.0,0.0,58,15.6,993.5
2026-04-16T03:00,62.6,70,52.7,62.7,0.0,0.0,0.0,56,14.9,993.0
2026-04-16T04:00,61.2,73,52.4,60.4,0.0,0.0,0.0,19,16.9,992.8
2026-04-16T05:00,60.2,77,52.9,59.4,0.0,0.0,0.0,12,16.7,993.0
2026-04-16T06:00,60.1,77,52.9,60.2,0.0,0.0,0.0,6,12.0,993.3
2026-04-16T07:00,59.8,78,52.9,60.4,0.0,0.0,0.0,8,11.3,994.0
2026-04-16T08:00,61.3,86,57.0,63.0,58.2,264.3,27.0,1,7.9,995.0
2026-04-16T09:00,68.6,71,58.9,69.1,253.5,585.6,78.8,0,8.7,996.0
2026-04-16T10:00,74.3,59,59.1,73.6,473.8,742.3,105.5,4,10.9,996.2
2026-04-16T11:00,78.4,50,58.2,78.4,671.2,818.2,125.8,2,11.6,996.6
2026-04-16T12:00,81.1,43,56.5,81.1,805.5,785.7,178.0,16,12.8,996.4
2026-04-16T13:00,83.2,35,52.7,83.1,932.0,902.7,135.0,3,13.2,995.5
2026-04-16T14:00,84.7,33,52.5,85.9,971.8,910.8,139.5,3,10.4,994.9
2026-04-16T15:00,85.9,32,52.6,85.9,933.8,888.3,144.0,5,12.8,994.0
2026-04-16T16:00,86.4,31,52.2,85.7,830.0,840.3,148.8,4,11.7,993.1
2026-04-16T17:00,86.3,30,51.2,83.6,679.0,803.2,129.8,7,13.1,992.3
2026-04-16T18:00,84.5,33,52.2,80.9,479.2,698.9,117.8,5,12.5,992.1
2026-04-16T19:00,83.2,34,51.9,80.1,258.5,519.8,91.0,5,11.9,991.6
2026-04-16T20:00,79.5,37,51.0,77.0,64.8,225.8,35.2,0,14.1,991.3
2026-04-16T21:00,74.8,42,50.1,73.7,0.0,0.0,0.0,0,13.9,991.1
2026-04-16T22:00,70.6,46,48.8,68.9,0.0,0.0,0.0,0,12.3,991.4
2026-04-16T23:00,67.8,56,51.6,66.5,0.0,0.0,0.0,0,10.2,991.9
