time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-06-07T00:00,72.1,71,62.1,75.3,0.0,0.0,0.0,69,5.4,992.5
2026-06-07T01:00,70.1,81,64.0,74.0,0.0,0.0,0.0,69,6.4,992.4
2026-06-07T02:00,69.4,78,62.2,73.2,0.0,0.0,0.0,1,4.8,992.1
2026-06-07T03:00,68.2,79,61.4,71.6,0.0,0.0,0.0,0,4.5,991.8
2026-06-07T04:00,67.6,80,61.2,70.7,0.0,0.0,0.0,3,1.8,991.5
2026-06-07T05:00,66.5,86,62.2,69.0,0.0,0.0,0.0,0,4.5,991.2
2026-06-07T06:00,64.9,90,61.9,68.7,0.0,0.0,0.0,1,1.3,991.6
2026-06-07T07:00,64.8,94,63.0,68.9,17.0,54.5,13.0,99,2.6,992.2
2026-06-07T08:00,69.0,89,65.6,74.5,167.0,490.4,65.0,99,2.7,993.0
2026-06-07T09:00,71.8,87,67.7,77.8,309.0,56.7,286.0,33,2.7,993.4
2026-06-07T10:00,77.7,78,70.3,85.3,537.0,508.1,237.0,50,2.0,994.0
2026-06-07T11:00,81.1,68,69.6,90.0,736.0,762.9,164.0,64,2.7,993.8
2026-06-07T12:00,81.9,67,69.8,89.2,442.0,17.2,427.0,99,1.3,993.6
2026-06-07T13:00,82.3,68,70.7,89.7,608.0,300.8,322.0,99,3.6,993.4
2026-06-07T14:00,80.1,70,69.4,85.3,9.0,0.0,10.0,99,6.4,992.9
2026-06-07T15:00,80.2,66,67.9,85.4,126.0,0.0,126.0,100,4.7,992.3
2026-06-07T16:00,83.0,63,69.1,93.1,839.0,530.1,372.0,100,2.0,992.3
2026-06-07T17:00,84.0,60,68.6,92.5,693.0,576.4,254.0,100,1.1,991.9
2026-06-07T18:00,81.5,66,69.1,87.6,481.0,257.8,325.0,100,3.8,991.7
2026-06-07T19:00,81.5,70,70.8,88.8,300.0,208.5,212.0,100,3.1,991.4
2026-06-07T20:00,79.2,80,72.5,87.7,107.0,4.4,106.0,100,4.9,991.8
2026-06-07T21:00,77.5,82,71.6,85.1,0.0,0.0,0.0,100,4.9,992.1
2026-06-07T22:00,76.6,85,71.7,84.0,0.0,0.0,0.0,100,6.3,992.7
2026-06-07T23:00,76.1,83,70.6,82.5,0.0,0.0,0.0,99,11.1,993.7
