time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-06-24T00:00,69.9,78,62.7,72.0,0.0,0.0,0.0,0,15.3,994.5
2026-06-24T01:00,68.8,80,62.4,71.3,0.0,0.0,0.0,0,14.5,994.8
2026-06-24T02:00,66.9,80,60.6,69.1,0.0,0.0,0.0,1,12.5,994.3
2026-06-24T03:00,65.9,86,61.6,69.2,0.0,0.0,0.0,0,10.4,993.5
2026-06-24T04:00,65.2,87,61.2,68.4,0.0,0.0,0.0,1,9.4,993.5
2026-06-24T05:00,64.2,89,60.9,67.1,0.0,0.0,0.0,6,10.1,993.5
2026-06-24T06:00,63.8,89,60.5,66.4,0.0,0.0,0.0,1,10.3,994.3
2026-06-24T07:00,64.0,91,61.3,66.9,15.0,56.8,11.0,1,9.2,994.8
2026-06-24T08:00,67.3,86,63.0,70.8,166.0,575.0,50.0,1,5.5,995.4
2026-06-24T09:00,71.5,77,63.9,74.8,368.0,719.6,81.0,7,5.5,995.7
2026-06-24T10:00,74.8,67,63.1,76.5,558.0,736.5,128.0,5,8.1,995.8
2026-06-24T11:00,77.2,59,61.8,80.6,751.0,823.7,138.0,8,7.4,995.5
2026-06-24T12:00,79.5,49,58.7,84.0,877.0,795.2,186.0,30,5.5,995.4
2026-06-24T13:00,81.2,49,60.3,88.2,961.0,746.6,252.0,99,3.8,995.2
2026-06-24T14:00,82.3,47,60.1,89.7,1012.0,830.0,198.0,9,3.4,994.9
2026-06-24T15:00,82.2,48,60.6,87.6,903.0,283.3,631.0,99,5.4,994.4
2026-06-24T16:00,82.3,50,61.8,87.6,785.0,176.6,628.0,74,3.7,994.2
2026-06-24T17:00,82.4,51,62.5,87.6,750.0,726.1,189.0,20,3.9,994.3
2026-06-24T18:00,81.7,51,61.8,84.1,569.0,716.1,126.0,7,4.9,993.9
2026-06-24T19:00,81.1,51,61.3,83.6,358.0,562.1,112.0,5,3.0,993.6
2026-06-24T20:00,79.3,55,61.8,81.8,151.0,301.8,78.0,0,4.6,993.5
2026-06-24T21:00,74.7,68,63.4,77.9,0.0,0.0,0.0,0,6.8,993.3
2026-06-24T22:00,71.8,73,62.7,74.8,0.0,0.0,0.0,0,6.1,993.6
2026-06-24T23:00,69.4,76,61.5,72.1,0.0,0.0,0.0,0,6.7,994.1
