time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-08-15T00:00,79.5,86,75.0,89.1,0.0,0.0,0.0,92,5.3,996.2
2026-08-15T01:00,78.5,89,75.0,88.5,0.0,0.0,0.0,18,3.0,996.2
2026-08-15T02:00,77.5,91,74.6,87.4,0.0,0.0,0.0,0,6.0,995.9
2026-08-15T03:00,76.6,94,74.8,87.0,0.0,0.0,0.0,2,4.7,995.6
2026-08-15T04:00,76.7,92,74.2,86.7,0.0,0.0,0.0,0,7.2,995.3
2026-08-15T05:00,75.8,93,73.7,85.8,0.0,0.0,0.0,0,7.4,995.1
2026-08-15T06:00,75.4,94,73.5,85.1,0.0,0.0,0.0,1,5.9,995.2
2026-08-15T07:00,75.3,95,73.8,84.9,0.0,0.0,0.0,3,5.9,995.5
2026-08-15T08:00,76.8,95,75.3,87.1,68.0,268.3,34.0,8,6.9,996.1
2026-08-15T09:00,80.2,90,77.0,91.1,254.0,545.8,82.0,4,3.6,996.4
2026-08-15T10:00,84.7,79,77.4,95.9,455.0,657.0,119.0,24,3.0,996.9
2026-08-15T11:00,88.6,73,78.8,101.4,640.0,740.5,135.0,35,4.2,997.2
2026-08-15T12:00,90.2,68,78.2,101.8,583.0,507.8,169.0,36,4.3,997.8
2026-08-15T13:00,92.7,60,76.7,104.7,754.0,664.0,155.0,28,5.4,997.5
2026-08-15T14:00,93.7,55,75.1,104.2,614.0,451.6,191.0,18,3.7,996.8
2026-08-15T15:00,96.7,44,71.2,105.3,783.0,686.4,154.0,8,6.5,996.3
2026-08-15T16:00,96.7,45,71.9,105.3,801.0,773.6,149.0,25,8.4,995.3
2026-08-15T17:00,89.2,69,77.7,100.0,602.0,460.5,270.0,17,7.8,995.2
2026-08-15T18:00,88.2,74,78.8,98.0,472.0,597.5,138.0,38,11.1,994.9
2026-08-15T19:00,90.2,62,75.5,99.1,259.0,388.6,116.0,47,6.5,995.7
2026-08-15T20:00,85.9,71,75.4,95.1,58.0,12.4,56.0,100,8.1,995.6
2026-08-15T21:00,84.3,67,72.1,92.0,0.0,0.0,0.0,100,7.9,995.7
2026-08-15T22:00,81.2,80,74.5,90.7,0.0,0.0,0.0,91,3.9,996.1
2026-08-15T23:00,80.2,89,76.6,91.6,0.0,0.0,0.0,75,4.0,996.1
