time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-06-30T00:00,78.2,92,75.7,88.3,0.0,0.0,0.0,63,4.7,994.9
2026-06-30T01:00,77.8,92,75.3,87.2,0.0,0.0,0.0,2,4.6,994.5
2026-06-30T02:00,77.5,91,74.6,87.3,0.0,0.0,0.0,0,5.9,994.1
2026-06-30T03:00,77.0,92,74.5,87.2,0.0,0.0,0.0,0,3.2,994.0
2026-06-30T04:00,76.6,94,74.7,86.5,0.0,0.0,0.0,10,4.2,994.1
2026-06-30T05:00,76.3,93,74.1,85.4,0.0,0.0,0.0,4,6.5,994.0
2026-06-30T06:00,76.5,93,74.3,85.9,0.0,0.0,0.0,6,6.2,994.4
2026-06-30T07:00,76.6,91,73.7,85.9,12.0,44.6,9.0,2,7.0,995.1
2026-06-30T08:00,78.4,92,75.8,87.8,147.0,445.1,60.0,7,6.8,995.6
2026-06-30T09:00,80.8,89,77.2,91.2,325.0,536.9,114.0,39,6.1,996.0
2026-06-30T10:00,84.1,84,78.8,94.4,534.0,677.3,142.0,26,8.4,996.5
2026-06-30T11:00,87.4,73,77.7,99.4,710.0,718.9,178.0,43,6.3,996.7
2026-06-30T12:00,88.5,68,76.6,97.9,360.0,258.7,136.0,31,7.2,996.8
2026-06-30T13:00,89.4,69,77.9,100.2,633.0,455.9,201.0,40,7.5,996.6
2026-06-30T14:00,91.9,60,76.0,103.5,860.0,699.2,175.0,35,7.8,996.1
2026-06-30T15:00,91.9,58,75.0,103.7,852.0,720.8,160.0,25,5.9,995.3
2026-06-30T16:00,92.5,55,74.0,103.3,810.0,756.2,137.0,15,5.9,995.0
2026-06-30T17:00,92.4,57,75.0,102.9,728.0,754.4,144.0,7,6.3,994.4
2026-06-30T18:00,92.3,57,74.9,101.4,550.0,675.3,131.0,16,4.9,994.1
2026-06-30T19:00,91.0,55,72.6,97.8,347.0,532.4,113.0,2,7.4,993.8
2026-06-30T20:00,86.8,67,74.5,96.8,144.0,262.8,80.0,0,2.4,994.1
2026-06-30T21:00,84.0,76,75.6,93.9,0.0,0.0,0.0,0,5.1,994.3
2026-06-30T22:00,83.7,77,75.7,93.6,0.0,0.0,0.0,2,7.1,994.7
2026-06-30T23:00,81.4,79,74.3,90.8,0.0,0.0,0.0,0,8.1,995.2
