time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-03-26T00:00,57.0,76,49.5,54.8,0.0,0.0,0.0,28,8.4,998.1
2026-03-26T01:00,54.2,77,47.2,52.5,0.0,0.0,0.0,0,10.8,997.5
2026-03-26T02:00,52.5,82,47.2,50.6,0.0,0.0,0.0,0,10.8,997.5
2026-03-26T03:00,51.6,78,45.0,49.4,0.0,0.0,0.0,0,10.5,997.4
2026-03-26T04:00,50.8,78,44.2,48.2,0.0,0.0,0.0,100,6.5,996.7
2026-03-26T05:00,53.2,82,47.8,51.0,0.0,0.0,0.0,2,2.9,996.9
2026-03-26T06:00,51.9,80,45.9,50.0,0.0,0.0,0.0,3,0.8,997.1
2026-03-26T07:00,51.2,81,45.5,49.1,0.0,0.0,0.0,100,1.9,997.3
2026-03-26T08:00,52.3,81,46.7,51.0,1.8,7.1,1.2,100,2.3,997.9
2026-03-26T09:00,54.5,82,49.1,54.0,41.0,12.2,38.5,100,1.1,998.5
2026-03-26T10:00,57.9,87,54.1,58.0,55.0,2.5,54.0,100,4.0,998.9
2026-03-26T11:00,61.3,90,58.3,62.0,76.5,0.0,76.8,100,5.7,999.1
2026-03-26T12:00,65.2,82,59.6,66.2,192.0,1.4,191.0,100,6.9,998.7
2026-03-26T13:00,70.1,74,61.4,72.6,543.5,178.8,398.2,38,4.3,997.9
2026-03-26T14:00,74.8,65,62.2,80.8,857.2,753.8,217.0,33,5.1,996.9
2026-03-26T15:00,77.6,55,60.2,82.0,848.5,835.1,155.5,33,6.3,996.1
2026-03-26T16:00,79.2,50,58.9,80.8,666.8,624.5,195.0,38,7.0,995.2
2026-03-26T17:00,79.8,50,59.5,80.0,543.2,564.5,187.0,38,9.2,994.4
2026-03-26T18:00,78.4,49,57.7,78.1,380.0,487.2,153.2,23,8.6,993.9
2026-03-26T19:00,76.6,52,57.6,77.1,188.0,364.5,89.8,10,7.7,993.8
2026-03-26T20:00,73.7,54,56.0,74.8,33.8,131.8,20.0,0,5.8,993.7
2026-03-26T21:00,69.5,63,56.4,70.0,0.0,0.0,0.0,0,9.8,993.4
2026-03-26T22:00,67.6,63,54.5,67.8,0.0,0.0,0.0,0,10.5,993.5
2026-03-26T23:00,66.7,62,53.3,66.4,0.0,0.0,0.0,1,17.5,993.2
