time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-07-14T00:00,72.6,97,71.7,80.8,0.0,0.0,0.0,100,4.1,994.9
2026-07-14T01:00,72.7,96,71.5,80.4,0.0,0.0,0.0,100,6.9,994.6
2026-07-14T02:00,72.4,97,71.5,79.4,0.0,0.0,0.0,100,10.6,995.0
2026-07-14T03:00,72.5,98,71.9,79.9,0.0,0.0,0.0,100,6.3,994.7
2026-07-14T04:00,72.7,97,71.8,79.7,0.0,0.0,0.0,100,7.4,994.4
2026-07-14T05:00,72.1,98,71.5,79.2,0.0,0.0,0.0,100,9.7,994.2
2026-07-14T06:00,72.9,96,71.7,80.2,0.0,0.0,0.0,100,7.2,994.8
2026-07-14T07:00,72.9,95,71.3,79.9,3.0,0.0,3.0,100,6.2,995.4
2026-07-14T08:00,73.0,94,71.1,79.7,49.0,0.0,49.0,100,6.4,995.6
2026-07-14T09:00,73.9,93,71.7,80.7,211.0,128.4,163.0,100,6.2,995.6
2026-07-14T10:00,75.3,91,72.5,83.1,360.0,193.8,251.0,100,4.4,996.4
2026-07-14T11:00,76.8,88,73.0,84.1,419.0,9.6,412.0,100,7.0,996.7
2026-07-14T12:00,77.3,93,75.1,86.8,708.0,113.4,611.0,100,9.2,996.7
2026-07-14T13:00,79.8,81,73.4,87.1,635.0,5.3,630.0,100,10.0,996.9
2026-07-14T14:00,80.2,79,73.1,86.0,460.0,1.0,459.0,100,12.1,996.4
2026-07-14T15:00,81.8,75,73.1,87.6,491.0,0.0,491.0,82,12.7,995.6
2026-07-14T16:00,81.1,77,73.2,88.2,672.0,28.2,647.0,24,11.0,995.3
2026-07-14T17:00,81.4,79,74.3,90.7,712.0,680.7,187.0,41,8.6,995.2
2026-07-14T18:00,79.9,83,74.3,86.7,434.0,139.4,348.0,97,10.7,994.7
2026-07-14T19:00,76.2,88,72.4,83.0,10.0,0.0,10.0,100,8.9,994.9
2026-07-14T20:00,75.7,91,72.9,84.1,41.0,0.0,41.0,100,4.4,995.1
2026-07-14T21:00,75.1,95,73.6,85.1,0.0,0.0,0.0,72,1.6,995.2
2026-07-14T22:00,74.2,96,73.0,82.4,0.0,0.0,0.0,34,5.4,995.7
2026-07-14T23:00,74.6,99,74.3,84.4,0.0,0.0,0.0,100,7.4,996.1
