time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-04-09T00:00,50.0,60,36.7,45.0,0.0,0.0,0.0,0,14.4,1004.6
2026-04-09T01:00,49.6,55,34.0,43.6,0.0,0.0,0.0,11,16.2,1004.8
2026-04-09T02:00,48.3,60,35.1,42.4,0.0,0.0,0.0,4,17.6,1004.3
2026-04-09T03:00,47.5,59,33.9,41.0,0.0,0.0,0.0,0,17.8,1004.2
2026-04-09T04:00,47.3,56,32.4,40.3,0.0,0.0,0.0,0,17.9,1004.2
2026-04-09T05:00,45.7,61,33.0,39.5,0.0,0.0,0.0,0,15.2,1004.0
2026-04-09T06:00,43.6,68,33.7,37.9,0.0,0.0,0.0,0,15.0,1004.4
2026-04-09T07:00,43.4,66,32.8,37.0,0.0,0.0,0.0,5,15.4,1005.1
2026-04-09T08:00,44.2,68,34.4,37.8,35.0,70.0,27.8,82,16.3,1005.6
2026-04-09T09:00,48.8,56,33.8,41.2,229.8,509.9,92.2,6,15.3,1006.4
2026-04-09T10:00,52.7,49,34.1,45.4,467.5,778.3,102.2,0,12.5,1006.7
2026-04-09T11:00,57.5,41,34.0,51.1,674.8,864.0,120.0,0,12.3,1007.1
2026-04-09T12:00,61.3,33,32.0,56.0,843.0,916.4,131.8,0,12.2,1007.2
2026-04-09T13:00,64.0,32,33.5,60.9,951.0,942.9,137.8,0,10.0,1006.1
2026-04-09T14:00,65.9,33,36.0,63.9,991.0,950.7,140.0,0,9.3,1005.0
2026-04-09T15:00,68.2,25,31.0,66.1,955.5,938.2,137.5,0,6.6,1004.5
2026-04-09T16:00,69.6,24,31.2,67.3,858.0,910.7,134.5,0,4.7,1004.1
2026-04-09T17:00,69.9,23,30.4,65.6,699.8,857.4,127.0,0,5.5,1003.7
2026-04-09T18:00,69.5,24,31.1,63.6,492.2,738.2,122.2,0,5.6,1003.3
2026-04-09T19:00,67.5,26,31.4,60.6,262.8,568.9,89.0,0,9.0,1003.0
2026-04-09T20:00,61.3,35,33.4,55.9,61.0,245.5,31.0,0,9.7,1002.9
2026-04-09T21:00,56.2,46,35.7,52.1,0.0,0.0,0.0,0,6.3,1002.9
2026-04-09T22:00,53.9,49,35.1,48.9,0.0,0.0,0.0,0,11.0,1003.4
2026-04-09T23:00,51.8,47,32.2,46.3,0.0,0.0,0.0,0,15.7,1003.3
