time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,cloud_cover,wind_speed_80m,surface_pressure
2026-04-12T00:00,60.6,57,45.3,57.3,0.0,0.0,0.0,0,10.3,1000.0
2026-04-12T01:00,58.5,62,45.5,56.0,0.0,0.0,0.0,0,10.1,999.8
2026-04-12T02:00,57.1,66,45.9,55.4,0.0,0.0,0.0,0,7.2,999.8
2026-04-12T03:00,55.9,67,45.1,53.2,0.0,0.0,0.0,0,3.6,999.6
2026-04-12T04:00,54.0,73,45.5,52.3,0.0,0.0,0.0,0,3.6,999.5
2026-04-12T05:00,53.1,78,46.4,51.4,0.0,0.0,0.0,0,3.8,999.8
2026-04-12T06:00,53.1,72,44.3,50.9,0.0,0.0,0.0,0,4.6,1000.1
2026-04-12T07:00,52.5,76,45.2,50.3,0.0,0.0,0.0,0,5.1,1000.3
2026-04-12T08:00,54.4,80,48.4,53.7,47.5,190.9,26.5,0,5.3,1000.9
2026-04-12T09:00,61.3,69,51.1,61.2,233.5,529.7,84.0,0,4.6,1001.9
2026-04-12T10:00,69.2,57,53.3,69.5,458.5,724.9,109.8,0,2.1,1003.0
2026-04-12T11:00,75.0,47,53.4,75.8,658.0,791.8,141.0,0,4.4,1003.6
2026-04-12T12:00,79.4,42,54.3,82.1,815.0,836.1,157.8,0,4.9,1003.8
2026-04-12T13:00,82.0,36,52.4,82.9,919.8,869.2,162.2,0,9.4,1003.3
2026-04-12T14:00,83.6,32,50.6,84.3,955.2,885.8,155.0,9,9.6,1002.6
2026-04-12T15:00,84.2,30,49.4,82.9,925.8,880.3,151.5,0,13.5,1001.9
2026-04-12T16:00,83.8,29,48.2,81.3,829.0,852.0,146.0,0,12.8,1001.4
2026-04-12T17:00,83.2,26,44.8,78.9,679.8,806.0,135.8,0,13.0,1001.0
2026-04-12T18:00,82.1,29,46.7,77.7,480.5,710.8,119.2,0,11.5,1000.9
2026-04-12T19:00,81.7,26,43.5,76.6,257.2,544.4,87.0,0,12.1,1000.8
2026-04-12T20:00,78.4,26,40.6,74.0,62.2,236.3,32.5,0,14.4,1000.5
2026-04-12T21:00,72.4,36,44.0,69.3,0.0,0.0,0.0,0,12.2,1000.2
2026-04-12T22:00,68.8,41,44.2,65.5,0.0,0.0,0.0,0,14.1,1000.8
2026-04-12T23:00,66.0,45,44.1,62.8,0.0,0.0,0.0,0,14.7,1000.7
